corruption,severity,sample_count,accuracy,accuracy_percent,error_rate,macro_f1,negative_log_likelihood,expected_calibration_error_15_bin,corruption_mean_accuracy
glass_blur,5,10000,0.4681,46.81,0.5319,0.4400005812178704,2.6202504634857178,0.3540594891145825,0.51144
motion_blur,1,10000,0.8795,87.94999999999999,0.12050000000000005,0.8818690632273228,0.46367090940475464,0.06656322191357608,0.72476
motion_blur,2,10000,0.7887,78.86999999999999,0.21130000000000004,0.7956184566098,0.9118651151657104,0.12932896785438064,0.72476
motion_blur,3,10000,0.6835,68.35,0.3165,0.6929198750269667,1.4835487604141235,0.20756125472337006,0.72476
motion_blur,4,10000,0.6848,68.47999999999999,0.31520000000000004,0.6944007003078008,1.4724549055099487,0.204655455724895,0.72476
motion_blur,5,10000,0.5873,58.730000000000004,0.41269999999999996,0.5925955090423405,2.0255444049835205,0.2804023412972688,0.72476
zoom_blur,1,10000,0.8542,85.42,0.14580000000000004,0.8580606353673444,0.5752969980239868,0.08062110702842472,0.72876
zoom_blur,2,10000,0.8148,81.47999999999999,0.18520000000000003,0.8216512192929539,0.7520111203193665,0.10520386866331095,0.72876
zoom_blur,3,10000,0.7397,73.97,0.2603,0.7506838859345076,1.111996054649353,0.15837104601562024,0.72876
zoom_blur,4,10000,0.6724,67.24,0.3276,0.6866138390696697,1.4836769104003906,0.20760368058085443,0.72876
zoom_blur,5,10000,0.5627,56.269999999999996,0.4373,0.57590281191901,2.1517696380615234,0.2933974123850466,0.72876
snow,1,10000,0.8802,88.02,0.11980000000000002,0.8803810366010819,0.4790165424346924,0.0683291780501604,0.8060200000000001
snow,2,10000,0.7889,78.89,0.21109999999999995,0.7895035969636998,0.898679792881012,0.12420150475353005,0.8060200000000001
snow,3,10000,0.8171,81.71000000000001,0.18289999999999995,0.8174288485060612,0.7383257150650024,0.1042047479748726,0.8060200000000001
snow,4,10000,0.796,79.60000000000001,0.20399999999999996,0.7972564976923092,0.8282007575035095,0.11856151402890686,0.8060200000000001
snow,5,10000,0.7479,74.79,0.2521,0.7502059577445755,1.055643916130066,0.14830291170775892,0.8060200000000001
frost,1,10000,0.8911,89.11,0.1089,0.8913452178940329,0.4003182351589203,0.05770469980537894,0.75514
frost,2,10000,0.8371,83.71,0.16290000000000004,0.8373536270710501,0.6790063977241516,0.09405553999096158,0.75514
frost,3,10000,0.7402,74.02,0.25980000000000003,0.7423371600442205,1.2167915105819702,0.15847075056433674,0.75514
frost,4,10000,0.7156,71.56,0.2844,0.7190407500972875,1.3619732856750488,0.17970890933424236,0.75514
frost,5,10000,0.5917,59.17,0.4083,0.5979949939128171,2.1265223026275635,0.27264580541700123,0.75514
fog,1,10000,0.9357,93.57,0.06430000000000002,0.9357460499763305,0.2397983819246292,0.034781343631446374,0.85942
fog,2,10000,0.9211,92.11,0.07889999999999997,0.921471554011965,0.2917587459087372,0.041806397366523744,0.85942
fog,3,10000,0.897,89.7,0.10299999999999998,0.8982489001366201,0.3856225907802582,0.058716637705266486,0.85942
fog,4,10000,0.8582,85.82,0.14180000000000004,0.8612116508742487,0.5507211089134216,0.0847071484744549,0.85942
fog,5,10000,0.6851,68.51,0.31489999999999996,0.7028842277608461,1.4715757369995117,0.20923190162628896,0.85942
brightness,1,10000,0.9384,93.84,0.06159999999999999,0.9383526915809437,0.22933979332447052,0.030944140429794705,0.92246
brightness,2,10000,0.9347,93.47,0.06530000000000002,0.9345938223954978,0.24244612455368042,0.03288924324214465,0.92246
brightness,3,10000,0.9283,92.83,0.07169999999999999,0.9281531224621187,0.27028369903564453,0.036410654181242064,0.92246
brightness,4,10000,0.9186,91.86,0.08140000000000003,0.9185841615545336,0.3084360659122467,0.042941221928596465,0.92246
brightness,5,10000,0.8923,89.23,0.10770000000000002,0.8927241926400881,0.4272715747356415,0.059350280410051366,0.92246
contrast,1,10000,0.9339,93.39,0.06610000000000005,0.933979118922495,0.25266581773757935,0.034992737340927074,0.73952
contrast,2,10000,0.8946,89.46,0.10540000000000005,0.8953840960654289,0.40310660004615784,0.05909263966083535,0.73952
contrast,3,10000,0.8445,84.45,0.15549999999999997,0.8466865427243606,0.6030462980270386,0.09297259242236608,0.73952
